ADAPT_COMM,ADVANCE$,ADVANCE_STEPS_COUNTER$,CFL_COMM,COMM,GHOSTFILL$,GHOSTFILL_AVERAGE,GHOSTFILL_COPY,GHOSTFILL_INTERP,GHOSTFILL_STEP1,GHOSTFILL_STEP2,GHOSTFILL_STEP3,GHOSTPATCH_BUILD,GHOSTPATCH_COMM,GRIDS_PER_PROC$,INIT,INTERIOR,LOCAL,LOCAL_BOUNDARY,LOCAL_BOUNDARY_RATIO,PARTITION,PARTITION_COMM,REGRID$,REMOTE_BOUNDARY,REMOTE_BOUNDARY_RATIO,WALLTIME,jobid,max,mi,min,mj,mx,nout,p,r0,rhoin,tfinal,MaxRSS,AveRSS
0.310184,0.243634,911,3.31955,0.150284,0.10381,0.00574195,0.0596854,0.00368694,0.0302214,0.00277385,0.0410675,0.0106882,0.150284,0,9.46227e-05,0,0.0078125,0,0.00390625,0.392625,0.392625,0.00264484,1,0.00303819,4.52615,4263219,4,4,0,1,8,150,16,0.3,0.2,0.75,2789376.0,13312.0
0.363455,38.7081,144967,0.654117,17.8551,11.5095,0.819471,8.33368,0.477892,4.03141,0.59386,5.23747,0.897081,17.8551,17,0.00108038,2,14.8438,15,0.15438,0.469795,0.469795,0.0673224,25,0.0926498,69.6544,4263922,6,4,0,1,8,150,4,0.5,0.1,0.75,331776.0,1024.0
1.23068,8.59327,32759,1.13638,12.4883,3.55906,0.215571,2.19551,0.125719,1.099,0.0199893,1.48832,0.349218,12.4883,4,0.000493937,0,3.96354,4,0.00954861,0.959231,0.959231,0.0172264,12,0.00372869,27.9987,4263220,6,4,0,1,8,150,8,0.2,0.2,0.75,8130560.0,246784.0
0.35106,4.23718,5614,14.5383,2.48741,0.945594,0.0390933,0.58995,0.0195516,0.292595,0.00678434,0.365898,0.0993917,2.48741,1,0.000268881,0,0.919271,1,0.00520833,0.539645,0.539645,0.0149304,3,0.00390625,23.1247,4263926,4,4,0,1,16,300,8,0.5,0.05,0.75,3522560.0,17408.0
0.326143,24.1361,91461,0.460426,16.4641,8.17513,0.548893,5.6979,0.316,2.85578,0.119905,3.73982,0.691819,16.4641,11,0.000993813,0,10.5573,11,0.0470155,0.440567,0.440567,0.0447337,21,0.0243865,50.0688,4263221,6,4,0,1,8,150,4,0.3,0.2,0.75,3256320.0,16384.0
0.272966,0.324566,1229,3.08451,0.159728,0.132967,0.00657653,0.0791461,0.00414985,0.0396499,0.00281959,0.0528119,0.0137041,0.159728,0,9.81002e-05,0,0.0130208,0,0.00455729,0.352031,0.352031,0.00285667,1,0.00423177,4.33326,4263222,4,4,0,1,8,150,16,0.4,0.1,0.75,2740224.0,13312.0
0.454599,20.3456,29662,15.771,19.3853,4.53455,0.037569,3.16192,0.0213279,1.54754,0.0156706,1.7116,0.44252,19.3853,3,0.000267789,0,2.66276,3,0.00390625,0.583373,0.583373,0.0184432,8,0.00141059,61.1063,4263929,5,4,0,1,16,300,16,0.2,0.025,0.75,3629056.0,18432.0
1.16851,61.2388,81509,4.19918,84.9549,14.2655,0.83273,9.04334,0.397764,4.5782,0.0541009,5.8128,1.47915,84.9549,5,0.00124094,0,4.93229,5,0.00716146,1.56561,1.56561,0.13553,13,0.00281547,167.598,4263931,6,4,0,1,16,300,8,0.3,0.4,0.75,9539584.0,186368.0
1.09603,912.071,1326340,1.95062,89.3534,126.078,0.434416,112.289,0.253173,41.1525,30.0808,43.8575,8.52311,89.3534,69,0.0025891,33,36.25,36,0.97202,1.02539,1.02539,0.409146,45,0.788219,1132.09,4263223,6,4,0,1,16,300,4,0.4,0.025,0.75,19255296.0,559104.0
0.990568,328.594,475215,2.67794,65.3793,52.4712,0.435294,44.3526,0.223652,19.1702,6.36507,20.215,4.21604,65.3793,25,0.00124881,7,17.4375,17,0.436398,1.12658,1.12658,0.22436,26,0.291734,451.543,4263224,6,4,0,1,16,300,8,0.3,0.05,0.75,14712832.0,294912.0
