,ADAPT_COMM,ADVANCE$,ADVANCE_STEPS_COUNTER$,CFL_COMM,COMM,GHOSTFILL$,GHOSTFILL_AVERAGE,GHOSTFILL_COPY,GHOSTFILL_INTERP,GHOSTFILL_STEP1,GHOSTFILL_STEP2,GHOSTFILL_STEP3,GHOSTPATCH_BUILD,GHOSTPATCH_COMM,GRIDS_PER_PROC$,INIT,INTERIOR,LOCAL,LOCAL_BOUNDARY,LOCAL_BOUNDARY_RATIO,PARTITION,PARTITION_COMM,REGRID$,REMOTE_BOUNDARY,REMOTE_BOUNDARY_RATIO,WALLTIME,jobid,max,mi,min,mj,mx,nout,p,r0,rhoin,tfinal,MaxRSS,AveRSS
1036,0.103536,0.2557,970,1.41347,0.0962109,0.0900133,0.00346948,0.0572152,0.00217757,0.0282129,0.00154821,0.0363786,0.00905189,0.0962109,0,0.00012326,0,0.375,0,0.0,0.0989557,0.0989557,0.00145828,2,0.0,2.06173,4253767,3,4,0,1,8,150,4,0.5,0.05,0.75,0.0,0.0
1037,0.169285,8.50569,3456,43.1689,2.93739,0.948938,0.0442825,0.604689,0.0176994,0.300513,0.00786466,0.372121,0.0883485,2.93739,0,0.000495338,0,0.229167,0,0.0234375,0.133927,0.133927,0.00894621,2,0.0190972,55.8865,4253768,3,4,0,1,32,600,4,0.4,0.4,0.75,0.0,0.0
1038,0.517056,25.8215,34551,3.45223,33.762,6.1755,0.335717,3.8607,0.160872,1.93938,0.0268917,2.47029,0.656926,33.762,4,0.00107301,0,3.97396,4,0.00520833,0.815903,0.815903,0.0978155,11,0.00265377,70.6945,4253769,5,4,0,1,16,300,4,0.3,0.4,0.75,0.0,0.0
1039,0.321239,7.45446,9874,8.657,4.39906,1.69013,0.0750334,1.05945,0.0362015,0.524557,0.00878008,0.663004,0.179141,4.39906,2,0.000489743,0,1.89062,2,0.0234375,0.419866,0.419866,0.0271146,6,0.00595238,22.9885,4253770,4,4,0,1,16,300,4,0.4,0.1,0.75,0.0,0.0
1040,0.295751,6.82476,25753,0.316877,5.77581,2.50206,0.13247,1.66801,0.0770837,0.826987,0.0191478,1.08019,0.235623,5.77581,6,0.000531611,0,5.73958,6,0.0364583,0.34563,0.34563,0.020293,14,0.0143233,16.0955,4253771,5,4,0,1,8,150,4,0.4,0.1,0.75,0.0,0.0
1041,0.433499,5.12599,6830,11.4477,3.5403,1.21262,0.0637635,0.735728,0.0310567,0.3662,0.00747966,0.477268,0.128784,3.5403,1,0.00043963,0,1.10938,1,0.0104167,0.494111,0.494111,0.0189952,4,0.00277778,22.2894,4253772,4,4,0,1,16,300,4,0.3,0.4,0.75,0.0,0.0
1042,1.50532,211.379,82742,11.9377,222.088,29.2982,1.30458,18.5636,0.498376,9.6545,0.0905167,10.835,4.66927,222.088,5,0.00341931,0,4.61458,5,0.0399306,2.78663,2.78663,0.765519,13,0.0135071,480.282,4253773,5,4,0,1,32,600,4,0.3,0.1,0.75,13553664.0,234496.0
1043,0.53673,4.5231,6082,12.3484,3.35591,1.08791,0.0566458,0.660976,0.0278541,0.329526,0.00744658,0.427784,0.115873,3.35591,1,0.000401111,0,1.0,1,0.0104167,0.531509,0.531509,0.0168449,4,0.00434028,22.4166,4253774,4,4,0,1,16,300,4,0.2,0.1,0.75,0.0,0.0
1044,0.422821,5.47306,7243,10.7948,3.32668,1.27634,0.0620593,0.783738,0.0303029,0.388712,0.0075687,0.50087,0.136094,3.32668,1,0.000437884,0,1.11458,1,0.0078125,0.493697,0.493697,0.0212311,4,0.00364583,21.8251,4253775,4,4,0,1,16,300,4,0.3,0.2,0.75,0.0,0.0
1045,0.088154,0.165134,617,1.52812,0.100631,0.0655746,0.00350956,0.0392117,0.00218395,0.019735,0.00157601,0.0266223,0.00668472,0.100631,0,0.000102366,0,0.135417,0,0.0104167,0.0962831,0.0962831,0.00137954,1,0.00694444,2.04768,4253776,3,4,0,1,8,150,4,0.2,0.1,0.75,0.0,0.0
1046,0.179984,5.76908,2373,46.3196,2.68934,0.669213,0.0344192,0.418463,0.0141566,0.209008,0.00705655,0.262871,0.0640641,2.68934,0,0.000387186,0,0.114583,0,0.0104167,0.182911,0.182911,0.00822566,1,0.00434028,55.8282,4253777,3,4,0,1,32,600,4,0.2,0.1,0.75,0.0,0.0
1047,0.251152,4.34432,16485,0.721448,5.29342,1.79097,0.1129,1.1083,0.0656048,0.55535,0.0117519,0.75693,0.177566,5.29342,4,0.000458582,0,3.92188,4,0.0173611,0.305164,0.305164,0.0140984,11,0.00605008,12.7321,4253778,5,4,0,1,8,150,4,0.2,0.025,0.75,0.0,0.0
1048,0.209636,1.14157,4334,1.73279,0.663851,0.462954,0.0240641,0.284526,0.0141674,0.140662,0.00395755,0.189505,0.0479137,0.663851,2,0.000235111,0,1.59375,2,0.0260417,0.22018,0.22018,0.00573055,5,0.00685764,4.44245,4253779,4,4,0,1,8,150,4,0.3,0.025,0.75,2621440.0,151552.0
