p,mx,max,r0,rhoin,Cost,MaxRSS,WALLTIME,hash
24,16,6,0.2,0.025,0.186713424077,7.04660940036,230.571,af20061d656a
24,16,6,0.4,0.025,0.219107535805,7.05889711504,248.427,3be52943ee1b
24,16,4,0.3,0.4,-0.83113535798,6.94378724449,22.1287,42abfe0a1a5c
24,16,5,0.4,0.4,-0.543370837822,6.94378724449,42.926,795a4343fcfe
24,8,6,0.2,0.025,-0.630139984005,6.9585172502,35.1521,588f53f49b13
8,32,5,0.4,0.4,-0.201386180237,7.03756799911,283.026,d8527fcaecc6
16,8,3,0.2,0.2,-2.01006592533,6.4266075437,2.19845,f74e490cfd5c
8,8,5,0.5,0.025,-1.42359209635,6.33003045097,16.9676,6f206f8aea8a
16,16,4,0.5,0.025,-1.1068722392,6.50778249401,17.5918,a903d9c7b982
16,32,4,0.5,0.4,-0.280263707748,6.82348048923,118.01,b04903ec6099
8,16,3,0.5,0.2,-1.66819627564,6.50333954496,9.66087,ccfc7cbe6308
16,32,5,0.2,0.4,0.0219294961868,7.03658801866,236.653,56fef01a0426
8,32,3,0.5,0.025,-0.944683690849,6.70648154381,51.1127,43c4c070807b
16,16,5,0.3,0.4,-0.667709696804,6.54937605543,48.3585,075522491e26
16,16,4,0.5,0.05,-1.02377844807,6.54483371264,21.3012,6b76f92d825f
16,8,4,0.5,0.4,-1.69525104051,5.60358602366,4.5387,31d003d70ec5
16,32,4,0.3,0.2,-0.290696111093,6.6976505262,115.209,e0f422af1a86
16,16,5,0.4,0.025,-0.499476286709,6.94520221496,71.2371,bd9ff60c45b1
16,32,5,0.4,0.2,0.0598914444262,7.03182002075,258.27,ecd1a29df957
8,32,5,0.5,0.4,-0.202410878642,7.04644958639,282.359,487c51a7eb29
8,32,5,0.5,0.2,-0.116489979293,7.07982005748,344.13,f78906fa328a
8,8,4,0.2,0.2,-2.01578282913,6.42259246596,4.3394,863565cda93a
8,16,5,0.3,0.1,-0.898946763036,6.53248327426,56.7892,8bf9318091ff
16,32,5,0.4,0.1,0.0689967770814,7.03330535389,263.742,f6e6ad0d3b77
8,32,4,0.4,0.2,-0.562277616162,7.02195496736,123.292,8289093f71ff
8,32,3,0.3,0.05,-0.901159454004,6.87099723069,56.5006,72b630451803
